,County,Year,Month,Region,Beneficiaries, Benefit Amounts (Dollars) ,Average Benefits per Beneficiary,Inflation Rate,Adjusted Benefits Per Beneficiary,Adjusted Benefits Amounts,Population,Percent Population on Welfare
0,Albany,2001,1,Capital,2500,2390000,956.0,175.1,1407.5,3518759.74,296232,0.84
1,Albany,2001,2,Capital,2200,2040000,927.27,175.8,1359.77,2991501.02,296232,0.74
2,Albany,2001,3,Capital,2300,2150000,934.78,176.2,1367.67,3145650.11,296232,0.78
3,Albany,2001,4,Capital,2300,2110000,917.39,176.9,1336.92,3074910.51,296232,0.78
4,Albany,2001,5,Capital,1900,1780000,936.84,177.7,1359.12,2582322.23,296232,0.64
5,Albany,2001,6,Capital,1900,1590000,836.84,178.0,1212.0,2302793.43,296232,0.64
6,Albany,2001,7,Capital,2000,1940000,970.0,177.5,1408.81,2817612.28,296232,0.68
7,Albany,2001,8,Capital,2000,1650000,825.0,177.5,1198.21,2396422.82,296232,0.68
8,Albany,2001,9,Capital,1900,1460000,768.42,178.3,1111.03,2110956.93,296232,0.64
9,Albany,2001,10,Capital,2000,1900000,950.0,177.7,1378.21,2756411.37,296232,0.68
10,Albany,2001,11,Capital,2100,1800000,857.14,177.4,1245.6,2615753.1,296232,0.71
11,Albany,2001,12,Capital,2500,2280000,912.0,176.7,1330.57,3326412.9,296232,0.84
12,Allegany,2001,1,Western New York,800,830000,1037.5,175.1,1527.5,1221996.06,50079,1.6
13,Allegany,2001,2,Western New York,800,710000,887.5,175.8,1301.45,1041159.67,50079,1.6
14,Allegany,2001,3,Western New York,800,700000,875.0,176.2,1280.21,1024165.15,50079,1.6
15,Allegany,2001,4,Western New York,800,680000,850.0,176.9,1238.71,990966.42,50079,1.6
16,Allegany,2001,5,Western New York,600,410000,683.33,177.7,991.34,594804.56,50079,1.2
17,Allegany,2001,6,Western New York,400,310000,775.0,178.0,1122.43,448972.3,50079,0.8
18,Allegany,2001,7,Western New York,500,340000,680.0,177.5,987.62,493808.34,50079,1.0
19,Allegany,2001,8,Western New York,400,260000,650.0,177.5,944.05,377618.14,50079,0.8
20,Allegany,2001,9,Western New York,300,220000,733.33,178.3,1060.3,318089.4,50079,0.6
21,Allegany,2001,10,Western New York,400,300000,750.0,177.7,1088.06,435222.85,50079,0.8
22,Allegany,2001,11,Western New York,600,380000,633.33,177.4,920.36,552214.54,50079,1.2
23,Allegany,2001,12,Western New York,800,640000,800.0,176.7,1167.16,933729.94,50079,1.6
24,Bronx,2001,1,New York City,13800,12290000,890.58,175.1,1311.19,18094375.39,1346555,1.02
25,Bronx,2001,2,New York City,12800,10400000,812.5,175.8,1191.47,15250789.53,1346555,0.95
26,Bronx,2001,3,New York City,13200,10930000,828.03,176.2,1211.49,15991607.32,1346555,0.98
27,Bronx,2001,4,New York City,13900,11680000,840.29,176.9,1224.55,17021305.6,1346555,1.03
28,Bronx,2001,5,New York City,13400,12070000,900.75,177.7,1306.75,17510465.9,1346555,1.0
29,Bronx,2001,6,New York City,13300,11250000,845.86,178.0,1225.06,16293349.72,1346555,0.99
30,Bronx,2001,7,New York City,15200,14550000,957.24,177.5,1390.27,21132092.11,1346555,1.13
31,Bronx,2001,8,New York City,15500,13710000,884.52,177.5,1284.65,19912095.04,1346555,1.15
32,Bronx,2001,9,New York City,16500,13260000,803.64,178.3,1161.95,19172115.65,1346555,1.23
33,Bronx,2001,10,New York City,18600,18390000,988.71,177.7,1434.36,26679160.55,1346555,1.38
34,Bronx,2001,11,New York City,18300,16480000,900.55,177.4,1308.67,23948672.83,1346555,1.36
35,Bronx,2001,12,New York City,19300,18040000,934.72,176.7,1363.71,26319512.62,1346555,1.43
36,Broome,2001,1,Southern Tier,2500,2200000,880.0,175.1,1295.61,3239025.7,200868,1.24
37,Broome,2001,2,Southern Tier,2300,1950000,847.83,175.8,1243.27,2859523.04,200868,1.15
38,Broome,2001,3,Southern Tier,2600,2040000,784.62,176.2,1147.97,2984709.88,200868,1.29
39,Broome,2001,4,Southern Tier,2400,1920000,800.0,176.9,1165.84,2798022.84,200868,1.19
40,Broome,2001,5,Southern Tier,2000,1490000,745.0,177.7,1080.8,2161606.81,200868,1.0
41,Broome,2001,6,Southern Tier,2100,1460000,695.24,178.0,1006.91,2114514.72,200868,1.05
42,Broome,2001,7,Southern Tier,2600,2060000,792.31,177.5,1150.73,2991897.58,200868,1.29
