,County,Year,Month,Region,Beneficiaries, Benefit Amounts (Dollars) ,Average Benefits per Beneficiary,Inflation Rate,Adjusted Benefits Per Beneficiary,Adjusted Benefits Amounts,Population
0,Albany,2001,1,Capital,2500,2390000,956.0,175.1,1407.5038949171903,3518759.7372929757,296232.0
1,Albany,2001,2,Capital,2200,2040000,927.2727272727273,175.8,1359.7731926776296,2991501.023890785,296232.0
2,Albany,2001,3,Capital,2300,2150000,934.7826086956521,176.2,1367.6739623945125,3145650.113507379,296232.0
3,Albany,2001,4,Capital,2300,2110000,917.3913043478261,176.9,1336.9176149630105,3074910.5144149237,296232.0
4,Albany,2001,5,Capital,1900,1780000,936.8421052631579,177.7,1359.1169623552414,2582322.2284749583,296232.0
5,Albany,2001,6,Capital,1900,1590000,836.8421052631579,178.0,1211.996540508575,2302793.4269662923,296232.0
6,Albany,2001,7,Capital,2000,1940000,970.0,177.5,1408.8061408450706,2817612.281690141,296232.0
7,Albany,2001,8,Capital,2000,1650000,825.0,177.5,1198.2114084507043,2396422.8169014086,296232.0
8,Albany,2001,9,Capital,1900,1460000,768.421052631579,178.3,1111.0299613306966,2110956.926528323,296232.0
9,Albany,2001,10,Capital,2000,1900000,950.0,177.7,1378.205683736635,2756411.3674732703,296232.0
10,Albany,2001,11,Capital,2100,1800000,857.1428571428571,177.4,1245.5967144467709,2615753.1003382187,296232.0
11,Albany,2001,12,Capital,2500,2280000,912.0,176.7,1330.565161290323,3326412.903225807,296232.0
12,Allegany,2001,1,Western New York,800,830000,1037.5,175.1,1527.4950742432898,1221996.0593946318,50079.0
13,Allegany,2001,2,Western New York,800,710000,887.5,175.8,1301.449587599545,1041159.6700796359,50079.0
14,Allegany,2001,3,Western New York,800,700000,875.0,176.2,1280.2064415437005,1024165.1532349604,50079.0
15,Allegany,2001,4,Western New York,800,680000,850.0,176.9,1238.7080271339742,990966.4217071793,50079.0
16,Allegany,2001,5,Western New York,600,410000,683.3333333333334,177.7,991.3409304070533,594804.558244232,50079.0
17,Allegany,2001,6,Western New York,400,310000,775.0,178.0,1122.4307584269666,448972.30337078654,50079.0
18,Allegany,2001,7,Western New York,500,340000,680.0,177.5,987.6166760563381,493808.33802816906,50079.0
19,Allegany,2001,8,Western New York,400,260000,650.0,177.5,944.0453521126761,377618.1408450705,50079.0
20,Allegany,2001,9,Western New York,300,220000,733.3333333333334,178.3,1060.2979996260985,318089.39988782955,50079.0
21,Allegany,2001,10,Western New York,400,300000,750.0,177.7,1088.0571187394487,435222.8474957795,50079.0
22,Allegany,2001,11,Western New York,600,380000,633.3333333333334,177.4,920.3575723412253,552214.543404735,50079.0
23,Allegany,2001,12,Western New York,800,640000,800.0,176.7,1167.1624221844936,933729.937747595,50079.0
24,Bronx,2001,1,New York City,13800,12290000,890.5797101449275,175.1,1311.1866221372468,18094375.385494005,1346555.0
25,Bronx,2001,2,New York City,12800,10400000,812.5,175.8,1191.4679323094426,15250789.533560865,1346555.0
26,Bronx,2001,3,New York City,13200,10930000,828.030303030303,176.2,1211.4854031231728,15991607.321225882,1346555.0
27,Bronx,2001,4,New York City,13900,11680000,840.2877697841726,176.9,1224.5543594519525,17021305.596382137,1346555.0
28,Bronx,2001,5,New York City,13400,12070000,900.7462686567164,177.7,1306.7511863865818,17510465.897580195,1346555.0
29,Bronx,2001,6,New York City,13300,11250000,845.8646616541354,178.0,1225.06388865422,16293349.719101125,1346555.0
30,Bronx,2001,7,New York City,15200,14550000,957.2368421052631,177.5,1390.2692179392143,21132092.112676058,1346555.0
31,Bronx,2001,8,New York City,15500,13710000,884.516129032258,177.5,1284.6512930486144,19912095.042253524,1346555.0
32,Bronx,2001,9,New York City,16500,13260000,803.6363636363636,178.3,1161.9464028960383,19172115.64778463,1346555.0
33,Bronx,2001,10,New York City,18600,18390000,988.7096774193549,177.7,1434.3634705102838,26679160.551491283,1346555.0
34,Bronx,2001,11,New York City,18300,16480000,900.5464480874317,177.4,1308.6706464351503,23948672.82976325,1346555.0
35,Bronx,2001,12,New York City,19300,18040000,934.7150259067357,176.7,1363.7053171119344,26319512.62026033,1346555.0
36,Broome,2001,1,Southern Tier,2500,2200000,880.0,175.1,1295.6102798400914,3239025.699600229,200868.0
37,Broome,2001,2,Southern Tier,2300,1950000,847.8260869565217,175.8,1243.270885888114,2859523.037542662,200868.0
38,Broome,2001,3,Southern Tier,2600,2040000,784.6153846153846,176.2,1147.9653365930326,2984709.8751418847,200868.0
39,Broome,2001,4,Southern Tier,2400,1920000,800.0,176.9,1165.8428490672698,2798022.8377614473,200868.0
40,Broome,2001,5,Southern Tier,2000,1490000,745.0,177.7,1080.8034046145192,2161606.809229038,200868.0
41,Broome,2001,6,Southern Tier,2100,1460000,695.2380952380952,178.0,1006.911771000535,2114514.719101124,200868.0
42,Broome,2001,7,Southern Tier,2600,2060000,792.3076923076923,177.5,1150.7298374864572,2991897.577464789,200868.0
43,Broome,2001,8,Southern Tier,2700,1900000,703.7037037037037,177.5,1022.0434011476266,2759517.183098592,200868.0
44,Broome,2001,9,Southern Tier,2800,1870000,667.8571428571429,178.3,965.6285353737683,2703759.899046551,200868.0
45,Broome,2001,10,Southern Tier,3100,2470000,796.7741935483871,177.7,1155.9144444242745,3583334.777715251,200868.0
46,Broome,2001,11,Southern Tier,3400,2480000,729.4117647058823,177.4,1059.978380529213,3603926.4937993237,200868.0
47,Broome,2001,12,Southern Tier,4100,3260000,795.1219512195122,176.7,1160.0455781467833,4756186.870401812,200868.0
48,Cattaraugus,2001,1,Western New York,1700,1620000,952.9411764705883,175.1,1403.000436725233,2385100.7424328956,83346.0
49,Cattaraugus,2001,2,Western New York,1500,1370000,913.3333333333334,175.8,1339.3321577550248,2008998.236632537,83346.0
50,Cattaraugus,2001,3,Western New York,1800,1400000,777.7777777777778,176.2,1137.9612813721783,2048330.3064699208,83346.0
51,Cattaraugus,2001,4,Western New York,1800,1290000,716.6666666666666,176.9,1044.4008856227624,1879921.5941209726,83346.0
52,Cattaraugus,2001,5,Western New York,1400,980000,700.0,177.7,1015.5199774901521,1421727.968486213,83346.0
53,Cattaraugus,2001,6,Western New York,1300,830000,638.4615384615385,178.0,924.682411408816,1202087.134831461,83346.0
54,Cattaraugus,2001,7,Western New York,1500,1070000,713.3333333333334,177.5,1036.0292582159625,1554043.8873239437,83346.0
55,Cattaraugus,2001,8,Western New York,1400,830000,592.8571428571429,177.5,861.0523541247486,1205473.295774648,83346.0
56,Cattaraugus,2001,9,Western New York,1200,750000,625.0,178.3,903.663067863152,1084395.6814357822,83346.0
57,Cattaraugus,2001,10,Western New York,1400,1030000,735.7142857142857,177.7,1067.3322212396497,1494265.1097355096,83346.0
58,Cattaraugus,2001,11,Western New York,1800,1090000,605.5555555555555,177.4,879.9910121508206,1583983.821871477,83346.0
59,Cattaraugus,2001,12,Western New York,2200,1490000,677.2727272727273,176.7,988.1090960539179,2173840.0113186194,83346.0
60,Cayuga,2001,1,Central New York,1500,1220000,813.3333333333334,175.1,1197.4579859128119,1796186.978869218,81313.0
61,Cayuga,2001,2,Central New York,1300,1060000,815.3846153846154,175.8,1195.6979959744465,1554407.3947667805,81313.0
62,Cayuga,2001,3,Central New York,1300,1080000,830.7692307692307,176.2,1215.4927093337992,1580140.522133939,81313.0
63,Cayuga,2001,4,Central New York,1300,1000000,769.2307692307693,176.9,1121.0027394877595,1457303.561334087,81313.0
64,Cayuga,2001,5,Central New York,900,690000,766.6666666666666,177.7,1112.2361658225475,1001012.5492402927,81313.0
65,Cayuga,2001,6,Central New York,900,600000,666.6666666666666,178.0,965.5318352059926,868978.6516853933,81313.0
66,Cayuga,2001,7,Central New York,1000,730000,730.0,177.5,1060.2355492957747,1060235.549295775,81313.0
67,Cayuga,2001,8,Central New York,900,650000,722.2222222222222,177.5,1048.9392801251956,944045.3521126761,81313.0
68,Cayuga,2001,9,Central New York,800,560000,700.0,178.3,1012.1026360067302,809682.1088053841,81313.0
69,Cayuga,2001,10,Central New York,1100,780000,709.0909090909091,177.7,1028.708548626388,1131579.4034890267,81313.0
70,Cayuga,2001,11,Central New York,1300,780000,600.0,177.4,871.9177001127396,1133493.0101465615,81313.0
71,Cayuga,2001,12,Central New York,1600,1200000,750.0,176.7,1094.214770797963,1750743.6332767406,81313.0
72,Chautauqua,2001,1,Western New York,2700,2000000,740.7407407407408,175.1,1090.5810436364407,2944568.8178183897,138730.0
73,Chautauqua,2001,2,Western New York,2400,1770000,737.5,175.8,1081.4862770193402,2595567.0648464165,138730.0
74,Chautauqua,2001,3,Western New York,2900,1780000,613.7931034482758,176.2,898.036439782379,2604305.6753688995,138730.0
75,Chautauqua,2001,4,Western New York,2900,1640000,565.5172413793103,176.9,824.1302898578975,2389977.8405879033,138730.0
76,Chautauqua,2001,5,Western New York,2600,1400000,538.4615384615385,177.7,781.1692134539632,2031039.9549803042,138730.0
77,Chautauqua,2001,6,Western New York,2400,1180000,491.6666666666667,178.0,712.0797284644196,1708991.3483146068,138730.0
78,Chautauqua,2001,7,Western New York,2900,1800000,620.6896551724138,177.5,901.475667799903,2614279.436619719,138730.0
79,Chautauqua,2001,8,Western New York,2600,1440000,553.8461538461538,177.5,804.3936728060672,2091423.549295775,138730.0
80,Chautauqua,2001,9,Western New York,2200,1260000,572.7272727272727,178.3,828.0839749145975,1821784.7448121144,138730.0
81,Chautauqua,2001,10,Western New York,2500,1740000,696.0,177.7,1009.7170061902084,2524292.515475521,138730.0
82,Chautauqua,2001,11,Western New York,3200,1740000,543.75,177.4,790.1754157271703,2528561.330326945,138730.0
83,Chautauqua,2001,12,Western New York,3400,2240000,658.8235294117648,176.7,961.1925829754655,3268054.782116582,138730.0
84,Chemung,2001,1,Southern Tier,1100,870000,790.9090909090909,175.1,1164.4431234099995,1280887.4357509997,90780.0
85,Chemung,2001,2,Southern Tier,1100,750000,681.8181818181819,175.8,999.8332299100218,1099816.5529010238,90780.0
86,Chemung,2001,3,Southern Tier,1300,890000,684.6153846153846,176.2,1001.6560289880383,1302152.8376844497,90780.0
87,Chemung,2001,4,Southern Tier,1400,960000,685.7142857142857,176.9,999.2938706290882,1399011.4188807236,90780.0
88,Chemung,2001,5,Southern Tier,1000,800000,800.0,177.7,1160.5942599887453,1160594.2599887454,90780.0
89,Chemung,2001,6,Southern Tier,1000,740000,740.0,178.0,1071.7403370786517,1071740.3370786519,90780.0
90,Chemung,2001,7,Southern Tier,1200,1040000,866.6666666666666,177.5,1258.7271361502346,1510472.563380282,90780.0
91,Chemung,2001,8,Southern Tier,1200,940000,783.3333333333334,177.5,1137.695680751174,1365234.8169014086,90780.0
92,Chemung,2001,9,Southern Tier,1300,960000,738.4615384615385,178.3,1067.712670952155,1388026.4722378016,90780.0
93,Chemung,2001,10,Southern Tier,1600,1320000,825.0,177.7,1196.8628306133937,1914980.5289814298,90780.0
94,Chemung,2001,11,Southern Tier,1900,1290000,678.9473684210526,177.4,986.6437132854685,1874623.0552423901,90780.0
95,Chemung,2001,12,Southern Tier,2000,1650000,825.0,176.7,1203.636247877759,2407272.495755518,90780.0
96,Chenango,2001,1,Southern Tier,900,790000,877.7777777777778,175.1,1292.3385367091823,1163104.683038264,51109.0
97,Chenango,2001,2,Southern Tier,800,730000,912.5,175.8,1338.1101393629124,1070488.11149033,51109.0
98,Chenango,2001,3,Southern Tier,900,790000,877.7777777777778,176.2,1284.2705889771728,1155843.5300794553,51109.0
99,Chenango,2001,4,Southern Tier,800,710000,887.5,176.9,1293.3569106840023,1034685.5285472019,51109.0
100,Chenango,2001,5,Southern Tier,600,480000,800.0,177.7,1160.5942599887453,696356.5559932471,51109.0
101,Chenango,2001,6,Southern Tier,500,390000,780.0,178.0,1129.6722471910111,564836.1235955057,51109.0
102,Chenango,2001,7,Southern Tier,600,510000,850.0,177.5,1234.5208450704226,740712.5070422535,51109.0
103,Chenango,2001,8,Southern Tier,600,450000,750.0,177.5,1089.2830985915493,653569.8591549298,51109.0
104,Chenango,2001,9,Southern Tier,600,430000,716.6666666666666,178.3,1036.2003178164143,621720.1906898486,51109.0
105,Chenango,2001,10,Southern Tier,700,610000,871.4285714285714,177.7,1264.2187474877405,884953.1232414182,51109.0
106,Chenango,2001,11,Southern Tier,900,680000,755.5555555555555,177.4,1097.9704371790053,988173.393461105,51109.0
107,Chenango,2001,12,Southern Tier,1100,960000,872.7272727272727,176.7,1273.2680969285384,1400594.9066213926,51109.0
108,Clinton,2001,1,North Country,1200,1070000,891.6666666666666,175.1,1312.7869312773653,1575344.3175328386,80320.0
109,Clinton,2001,2,North Country,1200,1030000,858.3333333333334,175.8,1258.6789438756164,1510414.7326507396,80320.0
110,Clinton,2001,3,North Country,1200,1070000,891.6666666666666,176.2,1304.5913261445328,1565509.5913734394,80320.0
111,Clinton,2001,4,North Country,1200,1060000,883.3333333333334,176.9,1287.284812511777,1544741.7750141323,80320.0
112,Clinton,2001,5,North Country,900,650000,722.2222222222222,177.7,1047.758706934284,942982.8362408555,80320.0
113,Clinton,2001,6,North Country,800,550000,687.5,178.0,995.7047050561798,796563.7640449438,80320.0
114,Clinton,2001,7,North Country,800,570000,712.5,177.5,1034.818943661972,827855.1549295775,80320.0
115,Clinton,2001,8,North Country,600,440000,733.3333333333334,177.5,1065.0768075117371,639046.0845070423,80320.0
116,Clinton,2001,9,North Country,600,370000,616.6666666666666,178.3,891.6142269583099,534968.5361749859,80320.0
117,Clinton,2001,10,North Country,700,560000,800.0,177.7,1160.5942599887453,812415.9819921217,80320.0
118,Clinton,2001,11,North Country,900,680000,755.5555555555555,177.4,1097.9704371790053,988173.393461105,80320.0
119,Clinton,2001,12,North Country,1200,1070000,891.6666666666666,176.7,1300.8997830598,1561079.7396717605,80320.0
120,Columbia,2001,1,Capital,600,580000,966.6666666666666,175.1,1423.208261945555,853924.9571673331,62953.0
121,Columbia,2001,2,Capital,600,490000,816.6666666666666,175.8,1197.5780242700037,718546.8145620023,62953.0
122,Columbia,2001,3,Capital,600,520000,866.6666666666666,176.2,1268.0139992432844,760808.3995459706,62953.0
123,Columbia,2001,4,Capital,500,470000,940.0,176.9,1369.865347654042,684932.673827021,62953.0
124,Columbia,2001,5,Capital,400,310000,775.0,177.7,1124.3256893640971,449730.27574563876,62953.0
125,Columbia,2001,6,Capital,300,280000,933.3333333333334,178.0,1351.7445692883898,405523.37078651687,62953.0
126,Columbia,2001,7,Capital,400,360000,900.0,177.5,1307.1397183098593,522855.8873239437,62953.0
127,Columbia,2001,8,Capital,300,300000,1000.0,177.5,1452.3774647887324,435713.23943661974,62953.0
128,Columbia,2001,9,Capital,300,260000,866.6666666666666,178.3,1253.0794541035707,375923.8362310712,62953.0
129,Columbia,2001,10,Capital,400,350000,875.0,177.7,1269.39997186269,507759.98874507606,62953.0
130,Columbia,2001,11,Capital,400,370000,925.0,177.4,1344.2064543404736,537682.5817361895,62953.0
131,Columbia,2001,12,Capital,600,500000,833.3333333333334,176.7,1215.7941897755143,729476.5138653085,62953.0
132,Cortland,2001,1,Central New York,900,980000,1088.888888888889,175.1,1603.154134145568,1442838.7207310111,48903.0
133,Cortland,2001,2,Central New York,800,800000,1000.0,175.8,1466.4220705346986,1173137.656427759,48903.0
134,Cortland,2001,3,Central New York,900,810000,900.0,176.2,1316.7837684449491,1185105.3916004542,48903.0
135,Cortland,2001,4,Central New York,800,700000,875.0,176.9,1275.1406161673262,1020112.492933861,48903.0
136,Cortland,2001,5,Central New York,500,360000,720.0,177.7,1044.5348339898708,522267.41699493537,48903.0
137,Cortland,2001,6,Central New York,400,330000,825.0,178.0,1194.8456460674158,477938.2584269663,48903.0
138,Cortland,2001,7,Central New York,600,420000,700.0,177.5,1016.6642253521128,609998.5352112678,48903.0
139,Cortland,2001,8,Central New York,800,540000,675.0,177.5,980.3547887323945,784283.8309859155,48903.0
140,Cortland,2001,9,Central New York,500,350000,700.0,178.3,1012.1026360067302,506051.31800336513,48903.0
141,Cortland,2001,10,Central New York,600,550000,916.6666666666666,177.7,1329.8475895704373,797908.5537422624,48903.0
142,Cortland,2001,11,Central New York,900,720000,800.0,177.4,1162.5569334836528,1046301.2401352876,48903.0
143,Cortland,2001,12,Central New York,1500,1400000,933.3333333333334,176.7,1361.689492548576,2042534.238822864,48903.0
144,Delaware,2001,1,Southern Tier,700,600000,857.1428571428571,175.1,1261.9580647793098,883370.645345517,47771.0
145,Delaware,2001,2,Southern Tier,600,550000,916.6666666666666,175.8,1344.2202313234736,806532.1387940842,47771.0
146,Delaware,2001,3,Southern Tier,600,570000,950.0,176.2,1389.9384222474462,833963.0533484678,47771.0
147,Delaware,2001,4,Southern Tier,600,490000,816.6666666666666,176.9,1190.131241756171,714078.7450537027,47771.0
148,Delaware,2001,5,Southern Tier,400,290000,725.0,177.7,1051.7885481148005,420715.4192459202,47771.0
149,Delaware,2001,6,Southern Tier,300,230000,766.6666666666666,178.0,1110.3616104868913,333108.4831460674,47771.0
150,Delaware,2001,7,Southern Tier,300,290000,966.6666666666666,177.5,1403.964882629108,421189.46478873247,47771.0
151,Delaware,2001,8,Southern Tier,300,240000,800.0,177.5,1161.901971830986,348570.59154929576,47771.0
152,Delaware,2001,9,Southern Tier,300,200000,666.6666666666666,178.3,963.9072723873621,289172.1817162087,47771.0
153,Delaware,2001,10,Southern Tier,400,280000,700.0,177.7,1015.5199774901521,406207.99099606083,47771.0
154,Delaware,2001,11,Southern Tier,500,320000,640.0,177.4,930.0455467869223,465022.77339346113,47771.0
155,Delaware,2001,12,Southern Tier,600,480000,800.0,176.7,1167.1624221844936,700297.4533106963,47771.0
156,Dutchess,2001,1,Hudson Valley,2100,2150000,1023.8095238095239,175.1,1507.338799597509,3165411.4791547693,284712.0
157,Dutchess,2001,2,Hudson Valley,2000,1870000,935.0,175.8,1371.1046359499433,2742209.2718998864,284712.0
158,Dutchess,2001,3,Hudson Valley,2200,2010000,913.6363636363636,176.2,1336.735037663812,2940817.0828603865,284712.0
159,Dutchess,2001,4,Hudson Valley,2000,1850000,925.0,176.9,1348.0057942340306,2696011.5884680613,284712.0
160,Dutchess,2001,5,Hudson Valley,1600,1550000,968.75,177.7,1405.4071117051212,2248651.378728194,284712.0
161,Dutchess,2001,6,Hudson Valley,1900,1650000,868.421052631579,178.0,1257.7322590183326,2389691.2921348317,284712.0
162,Dutchess,2001,7,Hudson Valley,2200,2220000,1009.0909090909091,177.5,1465.5808962868118,3224277.9718309864,284712.0
163,Dutchess,2001,8,Hudson Valley,2200,2020000,918.1818181818181,177.5,1333.546581306018,2933802.47887324,284712.0
164,Dutchess,2001,9,Hudson Valley,2100,1790000,852.3809523809524,178.3,1232.4242982666988,2588091.0263600675,284712.0
165,Dutchess,2001,10,Hudson Valley,2100,2270000,1080.952380952381,177.7,1568.183910818126,3293186.2127180644,284712.0
166,Dutchess,2001,11,Hudson Valley,2200,2110000,959.0909090909091,177.4,1393.7472327559701,3066243.9120631344,284712.0
167,Dutchess,2001,12,Hudson Valley,2600,2620000,1007.6923076923077,176.7,1470.175743328545,3822456.932654217,284712.0
168,Erie,2001,1,Western New York,15600,13780000,883.3333333333334,175.1,1300.5178945364557,20288079.154768705,946515.0
169,Erie,2001,2,Western New York,14400,12270000,852.0833333333334,175.8,1249.5138059347744,17992998.80546075,946515.0
170,Erie,2001,3,Western New York,14500,12410000,855.8620689655172,176.2,1252.2058671572274,18156985.0737798,946515.0
171,Erie,2001,4,Western New York,14800,12090000,816.8918918918919,176.9,1190.459463278994,17618800.056529112,946515.0
172,Erie,2001,5,Western New York,12700,10330000,813.3858267716536,177.7,1180.0136521342263,14986173.382104674,946515.0
173,Erie,2001,6,Western New York,11100,8730000,786.4864864864865,178.0,1139.0666109930155,12643639.382022472,946515.0
174,Erie,2001,7,Western New York,13600,11550000,849.2647058823529,177.5,1233.4529204639603,16774959.71830986,946515.0
175,Erie,2001,8,Western New York,12400,9610000,775.0,177.5,1125.592535211268,13957347.43661972,946515.0
176,Erie,2001,9,Western New York,12000,8390000,699.1666666666666,178.3,1010.897751916246,12130773.022994952,946515.0
177,Erie,2001,10,Western New York,12400,10950000,883.0645161290323,177.7,1281.0995107738672,15885633.933595952,946515.0
178,Erie,2001,11,Western New York,13400,10480000,782.0895522388059,177.4,1136.5295394504367,15229495.828635853,946515.0
179,Erie,2001,12,Western New York,15700,13420000,854.7770700636943,176.7,1247.0795944041326,19579149.632144883,946515.0
180,Essex,2001,1,North Country,800,750000,937.5,175.1,1380.2666333523703,1104213.306681896,38893.0
181,Essex,2001,2,North Country,800,680000,850.0,175.8,1246.4587599544939,997167.0079635951,38893.0
182,Essex,2001,3,North Country,800,640000,800.0,176.2,1170.4744608399546,936379.5686719638,38893.0
183,Essex,2001,4,North Country,800,670000,837.5,176.9,1220.491732617298,976393.3860938385,38893.0
184,Essex,2001,5,North Country,500,330000,660.0,177.7,957.4902644907148,478745.13224535744,38893.0
185,Essex,2001,6,North Country,300,210000,700.0,178.0,1013.8084269662922,304142.5280898877,38893.0
186,Essex,2001,7,North Country,300,220000,733.3333333333334,177.5,1065.0768075117371,319523.04225352115,38893.0
187,Essex,2001,8,North Country,300,180000,600.0,177.5,871.4264788732395,261427.94366197186,38893.0
188,Essex,2001,9,North Country,300,180000,600.0,178.3,867.5165451486259,260254.96354458778,38893.0
189,Essex,2001,10,North Country,400,290000,725.0,177.7,1051.7885481148005,420715.4192459202,38893.0
190,Essex,2001,11,North Country,600,430000,716.6666666666666,177.4,1041.457252912439,624874.3517474635,38893.0
191,Essex,2001,12,North Country,800,680000,850.0,176.7,1240.1100735710245,992088.0588568196,38893.0
192,Franklin,2001,1,North Country,1200,1040000,866.6666666666666,175.1,1275.9798210546355,1531175.7852655626,50925.0
193,Franklin,2001,2,North Country,1100,960000,872.7272727272727,175.8,1279.786534284828,1407765.1877133108,50925.0
194,Franklin,2001,3,North Country,1200,1000000,833.3333333333334,176.2,1219.2442300416196,1463093.0760499435,50925.0
195,Franklin,2001,4,North Country,1200,1060000,883.3333333333334,176.9,1287.284812511777,1544741.7750141323,50925.0
196,Franklin,2001,5,North Country,800,650000,812.5,177.7,1178.7285453010695,942982.8362408555,50925.0
197,Franklin,2001,6,North Country,700,490000,700.0,178.0,1013.8084269662922,709665.8988764045,50925.0
198,Franklin,2001,7,North Country,600,500000,833.3333333333334,177.5,1210.3145539906104,726188.7323943663,50925.0
199,Franklin,2001,8,North Country,500,360000,720.0,177.5,1045.7117746478873,522855.8873239437,50925.0
200,Franklin,2001,9,North Country,500,300000,600.0,178.3,867.5165451486259,433758.2725743129,50925.0
201,Franklin,2001,10,North Country,500,430000,860.0,177.7,1247.6388294879011,623819.4147439506,50925.0
202,Franklin,2001,11,North Country,800,550000,687.5,177.4,999.0723647125142,799257.8917700113,50925.0
203,Franklin,2001,12,North Country,1000,840000,840.0,176.7,1225.5205432937184,1225520.5432937185,50925.0
204,Fulton,2001,1,Mohawk Valley,1100,910000,827.2727272727273,175.1,1217.980738279425,1339778.8121073674,54904.0
205,Fulton,2001,2,Mohawk Valley,1000,750000,750.0,175.8,1099.816552901024,1099816.5529010238,54904.0
206,Fulton,2001,3,Mohawk Valley,1000,760000,760.0,176.2,1111.9507377979571,1111950.7377979571,54904.0
207,Fulton,2001,4,Mohawk Valley,900,720000,800.0,176.9,1165.8428490672698,1049258.5641605428,54904.0
