Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
2020,6,Capital,Albany,"17,500","24,070,000"
2020,6,Western New York,Allegany,"2,200","2,680,000"
2020,6,New York City,Bronx,"145,400","249,000,000"
2020,6,Southern Tier,Broome,"11,900","13,890,000"
2020,6,Western New York,Cattaraugus,"5,500","6,680,000"
2020,6,Central New York,Cayuga,"4,600","5,630,000"
2020,6,Western New York,Chautauqua,"8,500","9,070,000"
2020,6,Southern Tier,Chemung,"5,900","7,000,000"
2020,6,Southern Tier,Chenango,"2,300","2,700,000"
2020,6,North Country,Clinton,"5,500","6,400,000"
2020,6,Capital,Columbia,"2,800","3,980,000"
2020,6,Central New York,Cortland,"2,800","3,330,000"
2020,6,Southern Tier,Delaware,"1,700","2,300,000"
2020,6,Hudson Valley,Dutchess,"18,300","26,630,000"
2020,6,Western New York,Erie,"78,000","97,360,000"
2020,6,North Country,Essex,"1,800","2,340,000"
2020,6,North Country,Franklin,"2,700","3,610,000"
2020,6,Mohawk Valley,Fulton,"2,900","3,790,000"
2020,6,Finger Lakes,Genesee,"3,900","4,600,000"
2020,6,Capital,Greene,"2,800","3,800,000"
2020,6,North Country,Hamilton,200,"230,000"
2020,6,Mohawk Valley,Herkimer,"3,100","3,760,000"
2020,6,North Country,Jefferson,"5,900","6,670,000"
2020,6,New York City,Kings,"237,800","413,740,000"
2020,6,North Country,Lewis,"1,300","1,550,000"
2020,6,Finger Lakes,Livingston,"3,700","4,480,000"
2020,6,Central New York,Madison,"4,300","5,430,000"
2020,6,Finger Lakes,Monroe,"54,800","69,760,000"
2020,6,Mohawk Valley,Montgomery,"3,300","4,400,000"
2020,6,Long Island,Nassau,"106,300","173,200,000"
2020,6,New York City,New York,"124,900","230,900,000"
2020,6,Western New York,Niagara,"19,800","24,120,000"
2020,6,Mohawk Valley,Oneida,"14,700","17,790,000"
2020,6,Central New York,Onondaga,"33,500","42,860,000"
2020,6,Finger Lakes,Ontario,"6,800","8,540,000"
2020,6,Hudson Valley,Orange,"25,500","37,100,000"
2020,6,Finger Lakes,Orleans,"2,500","2,830,000"
2020,6,Central New York,Oswego,"7,900","9,560,000"
2020,6,Mohawk Valley,Otsego,"2,800","3,490,000"
2020,6,Out-of-State Resident,Out-of-State,"98,100","198,460,000"
2020,6,Hudson Valley,Putnam,"5,900","9,290,000"
2020,6,New York City,Queens,"250,300","429,660,000"
2020,6,Capital,Rensselaer,"9,200","12,510,000"
2020,6,New York City,Richmond,"36,900","59,760,000"
2020,6,Hudson Valley,Rockland,"18,500","28,990,000"
2020,6,Capital,Saratoga,"14,900","20,160,000"
2020,6,Capital,Schenectady,"11,400","15,950,000"
2020,6,Mohawk Valley,Schoharie,"1,400","1,760,000"
2020,6,Southern Tier,Schuyler,"1,300","1,520,000"
2020,6,Finger Lakes,Seneca,"2,000","2,620,000"
2020,6,Southern Tier,Steuben,"6,900","7,750,000"
2020,6,North Country,St. Lawrence,"5,000","6,270,000"
2020,6,Long Island,Suffolk,"117,900","181,730,000"
2020,6,Hudson Valley,Sullivan,"5,200","8,140,000"
2020,6,Southern Tier,Tioga,"2,700","3,400,000"
2020,6,Southern Tier,Tompkins,"5,100","6,720,000"
2020,6,Hudson Valley,Ulster,"12,000","17,010,000"
2020,6,Unknown Geography,Unknown,800,"1,450,000"
2020,6,Capital,Warren,"4,800","5,950,000"
2020,6,Capital,Washington,"3,300","4,100,000"
2020,6,Finger Lakes,Wayne,"5,400","6,880,000"
2020,6,Hudson Valley,Westchester,"61,900","103,080,000"
2020,6,Finger Lakes,Wyoming,"2,200","2,590,000"
2020,6,Finger Lakes,Yates,"1,200","1,350,000"
2020,5,Capital,Albany,"16,900","20,690,000"
2020,5,Western New York,Allegany,"2,200","2,470,000"
2020,5,New York City,Bronx,"129,000","176,810,000"
2020,5,Southern Tier,Broome,"12,300","13,260,000"
2020,5,Western New York,Cattaraugus,"6,000","6,810,000"
2020,5,Central New York,Cayuga,"5,100","5,680,000"
2020,5,Western New York,Chautauqua,"9,200","9,540,000"
2020,5,Southern Tier,Chemung,"5,700","6,490,000"
2020,5,Southern Tier,Chenango,"2,500","2,750,000"
2020,5,North Country,Clinton,"5,900","6,790,000"
2020,5,Capital,Columbia,"2,900","3,570,000"
2020,5,Central New York,Cortland,"3,100","3,510,000"
2020,5,Southern Tier,Delaware,"2,000","2,330,000"
2020,5,Hudson Valley,Dutchess,"18,600","23,770,000"
2020,5,Western New York,Erie,"82,500","96,240,000"
2020,5,North Country,Essex,"2,100","2,450,000"
2020,5,North Country,Franklin,"2,900","3,570,000"
2020,5,Mohawk Valley,Fulton,"3,200","3,580,000"
2020,5,Finger Lakes,Genesee,"4,300","4,670,000"
2020,5,Capital,Greene,"2,900","3,450,000"
2020,5,North Country,Hamilton,300,"280,000"
2020,5,Mohawk Valley,Herkimer,"3,600","3,990,000"
2020,5,North Country,Jefferson,"6,500","7,050,000"
2020,5,New York City,Kings,"221,100","317,570,000"
2020,5,North Country,Lewis,"1,400","1,540,000"
2020,5,Finger Lakes,Livingston,"4,100","4,590,000"
2020,5,Central New York,Madison,"4,800","5,720,000"
2020,5,Finger Lakes,Monroe,"53,900","61,010,000"
2020,5,Mohawk Valley,Montgomery,"3,500","4,120,000"
2020,5,Long Island,Nassau,"106,900","151,030,000"
2020,5,New York City,New York,"113,900","174,370,000"
2020,5,Western New York,Niagara,"22,100","26,090,000"
2020,5,Mohawk Valley,Oneida,"15,400","17,420,000"
2020,5,Central New York,Onondaga,"35,300","41,190,000"
2020,5,Finger Lakes,Ontario,"7,300","8,350,000"
2020,5,Hudson Valley,Orange,"25,800","33,740,000"
2020,5,Finger Lakes,Orleans,"2,800","2,930,000"
2020,5,Central New York,Oswego,"8,800","9,920,000"
2020,5,Mohawk Valley,Otsego,"2,900","3,350,000"
2020,5,Out-of-State Resident,Out-of-State,"93,800","156,430,000"
2020,5,Hudson Valley,Putnam,"6,400","8,830,000"
2020,5,New York City,Queens,"238,100","340,980,000"
2020,5,Capital,Rensselaer,"9,400","11,400,000"
2020,5,New York City,Richmond,"36,300","49,810,000"
2020,5,Hudson Valley,Rockland,"17,800","24,020,000"
2020,5,Capital,Saratoga,"15,100","18,990,000"
2020,5,Capital,Schenectady,"11,500","14,010,000"
2020,5,Mohawk Valley,Schoharie,"1,500","1,740,000"
2020,5,Southern Tier,Schuyler,"1,300","1,620,000"
2020,5,Finger Lakes,Seneca,"2,200","2,600,000"
2020,5,Southern Tier,Steuben,"6,400","7,290,000"
2020,5,North Country,St. Lawrence,"5,400","6,240,000"
2020,5,Long Island,Suffolk,"122,600","166,970,000"
2020,5,Hudson Valley,Sullivan,"5,100","6,760,000"
2020,5,Southern Tier,Tioga,"2,900","3,490,000"
2020,5,Southern Tier,Tompkins,"4,900","5,790,000"
2020,5,Hudson Valley,Ulster,"12,400","15,440,000"
2020,5,Unknown Geography,Unknown,700,"970,000"
2020,5,Capital,Warren,"5,200","5,970,000"
2020,5,Capital,Washington,"3,600","4,090,000"
2020,5,Finger Lakes,Wayne,"5,900","6,870,000"
2020,5,Hudson Valley,Westchester,"60,000","85,540,000"
2020,5,Finger Lakes,Wyoming,"2,600","2,870,000"
2020,5,Finger Lakes,Yates,"1,300","1,430,000"
2020,4,Capital,Albany,"13,300","15,920,000"
2020,4,Western New York,Allegany,"1,900","2,150,000"
2020,4,New York City,Bronx,"94,900","119,660,000"
2020,4,Southern Tier,Broome,"10,700","11,970,000"
2020,4,Western New York,Cattaraugus,"5,200","5,920,000"
2020,4,Central New York,Cayuga,"4,500","5,380,000"
2020,4,Western New York,Chautauqua,"8,000","8,740,000"
2020,4,Southern Tier,Chemung,"4,600","5,300,000"
2020,4,Southern Tier,Chenango,"2,300","2,650,000"
2020,4,North Country,Clinton,"4,900","6,100,000"
2020,4,Capital,Columbia,"2,300","2,930,000"
2020,4,Central New York,Cortland,"2,800","3,320,000"
2020,4,Southern Tier,Delaware,"1,700","1,980,000"
2020,4,Hudson Valley,Dutchess,"15,700","20,250,000"
2020,4,Western New York,Erie,"68,900","83,370,000"
2020,4,North Country,Essex,"1,900","2,370,000"
2020,4,North Country,Franklin,"2,500","2,900,000"
2020,4,Mohawk Valley,Fulton,"2,700","3,280,000"
2020,4,Finger Lakes,Genesee,"3,800","4,470,000"
2020,4,Capital,Greene,"2,500","2,970,000"
2020,4,North Country,Hamilton,200,"270,000"
2020,4,Mohawk Valley,Herkimer,"3,500","4,360,000"
2020,4,North Country,Jefferson,"6,100","6,860,000"
2020,4,New York City,Kings,"165,800","219,030,000"
2020,4,North Country,Lewis,"1,300","1,560,000"
2020,4,Finger Lakes,Livingston,"3,700","4,660,000"
2020,4,Central New York,Madison,"4,400","5,490,000"
2020,4,Finger Lakes,Monroe,"43,200","52,790,000"
2020,4,Mohawk Valley,Montgomery,"3,100","3,720,000"
2020,4,Long Island,Nassau,"84,900","115,120,000"
2020,4,New York City,New York,"86,000","123,110,000"
2020,4,Western New York,Niagara,"19,300","24,080,000"
2020,4,Mohawk Valley,Oneida,"12,600","14,630,000"
2020,4,Central New York,Onondaga,"29,300","35,170,000"
2020,4,Finger Lakes,Ontario,"6,500","7,910,000"
2020,4,Hudson Valley,Orange,"21,300","27,250,000"
2020,4,Finger Lakes,Orleans,"2,500","2,800,000"
2020,4,Central New York,Oswego,"7,700","9,170,000"
2020,4,Mohawk Valley,Otsego,"2,600","3,120,000"
2020,4,Out-of-State Resident,Out-of-State,"73,100","115,410,000"
2020,4,Hudson Valley,Putnam,"5,300","7,390,000"
2020,4,New York City,Queens,"185,700","242,550,000"
2020,4,Capital,Rensselaer,"7,800","9,630,000"
2020,4,New York City,Richmond,"29,000","37,660,000"
2020,4,Hudson Valley,Rockland,"13,600","17,300,000"
2020,4,Capital,Saratoga,"12,800","16,090,000"
2020,4,Capital,Schenectady,"9,200","10,870,000"
2020,4,Mohawk Valley,Schoharie,"1,400","1,640,000"
2020,4,Southern Tier,Schuyler,"1,100","1,460,000"
2020,4,Finger Lakes,Seneca,"1,900","2,280,000"
2020,4,Southern Tier,Steuben,"5,600","6,760,000"
2020,4,North Country,St. Lawrence,"5,000","5,730,000"
2020,4,Long Island,Suffolk,"101,900","135,870,000"
2020,4,Hudson Valley,Sullivan,"3,900","4,780,000"
2020,4,Southern Tier,Tioga,"2,700","3,350,000"
2020,4,Southern Tier,Tompkins,"3,900","4,830,000"
2020,4,Hudson Valley,Ulster,"10,400","13,040,000"
2020,4,Unknown Geography,Unknown,400,"540,000"
2020,4,Capital,Warren,"4,500","5,400,000"
2020,4,Capital,Washington,"3,200","3,740,000"
2020,4,Finger Lakes,Wayne,"5,200","6,600,000"
2020,4,Hudson Valley,Westchester,"47,400","64,610,000"
2020,4,Finger Lakes,Wyoming,"2,500","3,020,000"
2020,4,Finger Lakes,Yates,"1,200","1,490,000"
2020,3,Capital,Albany,"4,700","4,020,000"
2020,3,Western New York,Allegany,900,"910,000"
2020,3,New York City,Bronx,"27,400","25,930,000"
2020,3,Southern Tier,Broome,"4,000","3,620,000"
2020,3,Western New York,Cattaraugus,"2,200","2,030,000"
2020,3,Central New York,Cayuga,"1,700","1,570,000"
2020,3,Western New York,Chautauqua,"3,100","2,670,000"
2020,3,Southern Tier,Chemung,"1,700","1,280,000"
